ari,nmi,sillhouette,db
0.07877928,0.01521205,0.2960912,2.52834218
0.15488881,0.04674353,0.23761998,3.09694648
0.14684986,0.04313745,0.22435343,3.16384166
0.14684986,0.04313745,0.23140238,3.15822584
0.14410957,0.04193685,0.23575556,3.16638281
0.13134067,0.03652956,0.20440367,3.31194762
0.13038161,0.03613567,0.22959688,3.08284902
0.13134067,0.03652956,0.24073939,2.92489839
0.13627008,0.03858089,0.26031727,2.79180336
