ari,nmi,silhouette,db
0.6637301,0.75986184,0.34535741,1.23850721
0.34025138,0.55616255,0.30658838,1.28310113
0.4114767,0.55538346,0.33321614,1.11096173
0.35593865,0.56703048,0.54639688,0.80139315
0.264329,0.43655672,0.57721468,0.70885791
0.6447057,0.71695687,0.91736609,0.39558224
0.1669831,0.3771638,0.63060745,0.70554146
0.18599231,0.42112429,0.78506801,0.62794417
0.2040733,0.3915921,1.0,0.0
