ari,nmi,silhouette,db
0.71773011,0.62124966,0.36206595,1.25845727
0.72390384,0.62325972,0.38332748,1.19586153
0.72415865,0.61462725,0.35555616,1.29318458
0.66397496,0.57240014,0.34619634,1.36252109
0.66397496,0.57240014,0.35884577,1.32927274
0.60737877,0.49888491,0.34929703,1.38127022
0.42722141,0.32239109,0.31839815,1.52982246
0.47558016,0.36807331,0.32817715,1.44105044
0.55443365,0.4311807,0.44858226,0.9858652
