ari,nmi,sillhouette,db
0.71176171,0.61178508,0.36210908,1.2394666
0.71212003,0.60052167,0.36116289,1.21703415
0.72992306,0.63274698,0.38369409,1.14485632
0.76080061,0.66269571,0.40598948,1.04809893
0.77317198,0.68327671,0.40074627,1.053383
0.7731007,0.6883824,0.42283863,0.98416524
0.75409784,0.69611903,0.43724025,0.92113318
0.78558066,0.71424294,0.4410517,0.91322985
0.77966317,0.6784791,0.47521841,0.83100335
