ari,nmi,sillhouette,db
-0.00326143,0.00671532,0.22099868,2.07448399
-0.00027498,0.00434854,0.1452742,2.2140004
0.00446006,0.00764613,0.15678594,2.09571379
0.00641057,0.00903332,0.17540206,1.94797853
0.00446109,0.00788358,0.20287518,1.76740122
-0.00333645,0.00196102,0.2379193,1.56382167
-0.00397577,0.00177638,0.28133269,1.37336543
-0.00249216,0.003346,0.32410666,1.23525441
-0.00025975,0.00589024,0.45178763,0.84534361
