ari,nmi,silhouette,db
0.00204013,0.00175175,0.00763933,11.08540958
0.0127596,0.00959276,0.00827272,10.72515207
-0.00038218,1.71e-06,0.0102341,9.60159572
0.01774345,0.01311538,0.00887419,10.28403485
0.00042688,0.00058736,0.00722748,11.35609932
0.00857061,0.00646723,0.01260435,8.685284
0.02329381,0.0172025,0.01274629,8.56071204
0.001159,0.00112749,0.01055483,9.51863054
0.00092328,0.00094506,0.01753754,7.32070674
