ari,nmi,sillhouette,db
0.45208014,0.36342378,0.18230968,2.00077606
0.45230631,0.35463667,0.17218507,2.08373623
0.44224369,0.34664663,0.18175906,2.03042968
0.43244142,0.33687818,0.1951482,1.93865937
0.4422906,0.34554264,0.2188836,1.78535658
0.3848069,0.2961056,0.23984977,1.69615263
0.32282025,0.24897025,0.32340246,1.43165245
0.28967047,0.21750964,0.39370454,1.28132889
0.28967047,0.21750964,0.58957685,0.74220655
